i,direction,te,ete,se,p,history length
Still 1,R->L,0.03784446,0.016005482,0.003393991,0,3
Still 1,L->R,0.046100345,0,0.005459113,0,4
Still 1,R->L,0.044572507,0.012711874,0.005506807,0,4
Still 1,L->R,0.051698688,0,0.006939705,0.01,5
Still 1,R->L,0.049704169,0.008382984,0.007371147,0.02,5
Still 1,L->R,0.051037695,0,0.008720069,0.09,6
Still 1,R->L,0.04660338,0.00206832,0.008937156,0.23,6
Still 1,L->R,0.051683218,0,0.007736333,0.19,7
Still 1,R->L,0.04003202,0,0.008946264,0.84,7
Still 1,L->R,0.048746812,0,0.009797084,0.51,8
Still 1,R->L,0.038432756,0,0.009361202,0.99,8
Still 1,L->R,0.042491868,0,0.008639852,0.92,9
Still 1,R->L,0.039919177,0,0.010002004,0.98,9
Still 1,L->R,0.039882414,0,0.009499004,0.99,10
Still 1,R->L,0.039940593,0,0.010296074,1,10
Still 1,L->R,0.032846967,0,0.007721716,1,11
Still 1,R->L,0.03568368,0,0.011034782,1,11
Still 1,L->R,0.027558966,0,0.009421154,1,12
Still 1,R->L,0.033603088,0,0.009286536,1,12
Still 1,L->R,0.02552255,0,0.007416148,1,13
Still 1,R->L,0.030636524,0,0.00924864,1,13
Still 1,L->R,0.024358172,0,0.008239338,1,14
Still 1,R->L,0.025403193,0,0.00974449,1,14
Still 1,L->R,0.022627691,0,0.006884096,1,15
Still 1,R->L,0.025926202,0,0.009131812,1,15
Still 1,L->R,0.022070537,0,0.00749599,1,16
Still 1,R->L,0.026743707,0,0.009081334,1,16
Still 1,L->R,0.023120439,0,0.007523807,1,17
Still 1,R->L,0.029269446,0,0.008402356,1,17
Still 1,L->R,0.021347194,0,0.007417003,1,18
Still 1,R->L,0.030033757,0,0.007350478,1,18
Still 1,L->R,0.01964867,0,0.006770471,1,19
Still 1,R->L,0.029095337,0,0.007721702,1,19
Still 1,L->R,0.018910465,0,0.007429026,1,20
Still 1,R->L,0.029204492,0,0.007209302,1,20
Still 2,L->R,0.013083326,0.010250658,0.001274601,0,1
Still 2,R->L,0.004151322,0.001504236,0.001132356,0.06,1
Still 2,L->R,0.013431282,0,0.002133521,0.03,2
Still 2,R->L,0.008383002,0,0.002076346,0.38,2
Still 2,L->R,0.019339258,0,0.004015727,0.16,3
Still 2,R->L,0.013680012,0,0.003677943,0.59,3
Still 2,L->R,0.028288395,0,0.004436143,0.04,4
Still 2,R->L,0.022091239,0,0.005077988,0.48,4
Still 2,L->R,0.039495378,0,0.005637708,0.01,5
Still 2,R->L,0.028075711,0,0.007065357,0.58,5
Still 2,L->R,0.043952938,0,0.006066744,0.04,6
Still 2,R->L,0.034040068,0,0.009576048,0.71,6
Still 2,L->R,0.04578648,0,0.007728955,0.18,7
