i,direction,te,ete,se,p,history length
Exaggerated 2,L->R,0.01244165,0,0.00899992,1,9
Exaggerated 2,R->L,0.015007938,0,0.008330122,1,9
Exaggerated 2,L->R,0.011597727,0,0.008571404,1,10
Exaggerated 2,R->L,0.014538444,0,0.008218234,1,10
Exaggerated 2,L->R,0.011703599,0,0.008417118,1,11
Exaggerated 2,R->L,0.015735112,0,0.007942155,1,11
Exaggerated 2,L->R,0.013870248,0,0.008275435,1,12
Exaggerated 2,R->L,0.016632259,0,0.008435181,1,12
Exaggerated 2,L->R,0.014960742,0,0.007863744,1,13
Exaggerated 2,R->L,0.017077164,0,0.008201791,1,13
Exaggerated 2,L->R,0.017056804,0,0.007944918,1,14
Exaggerated 2,R->L,0.016029828,0,0.007190477,1,14
Exaggerated 2,L->R,0.019274635,0,0.008037612,1,15
Exaggerated 2,R->L,0.013931023,0,0.008093431,1,15
Exaggerated 2,L->R,0.019547769,0,0.008438169,1,16
Exaggerated 2,R->L,0.013219277,0,0.007375929,1,16
Exaggerated 2,L->R,0.020849709,0,0.006849772,1,17
Exaggerated 2,R->L,0.014936529,0,0.007785598,1,17
Exaggerated 2,L->R,0.020506716,0,0.005893224,1,18
Exaggerated 2,R->L,0.014441978,0,0.007401866,1,18
Exaggerated 2,L->R,0.02018187,0,0.00749749,1,19
Exaggerated 2,R->L,0.013584795,0,0.006913555,1,19
Exaggerated 2,L->R,0.021745883,0,0.00649768,1,20
Exaggerated 2,R->L,0.013137628,0,0.006863707,1,20
Exaggerated 3,L->R,0.008611074,0.005800626,0.001139109,0,1
Exaggerated 3,R->L,0.009187018,0.006398135,0.001098306,0,1
Exaggerated 3,L->R,0.009590187,9.12E-05,0.002588517,0.15,2
Exaggerated 3,R->L,0.008688854,0,0.002464724,0.18,2
Exaggerated 3,L->R,0.009252164,0,0.003108187,0.7,3
Exaggerated 3,R->L,0.010651318,0,0.003229438,0.61,3
Exaggerated 3,L->R,0.011585913,0,0.004930372,0.82,4
Exaggerated 3,R->L,0.009834235,0,0.004497069,0.91,4
Exaggerated 3,L->R,0.011006387,0,0.006138835,1,5
Exaggerated 3,R->L,0.012484415,0,0.005293485,0.99,5
Exaggerated 3,L->R,0.011492144,0,0.007129252,1,6
Exaggerated 3,R->L,0.013330855,0,0.005616012,0.99,6
Exaggerated 3,L->R,0.010815974,0,0.008090361,1,7
Exaggerated 3,R->L,0.014139505,0,0.006549057,1,7
Exaggerated 3,L->R,0.012770275,0,0.007793237,1,8
Exaggerated 3,R->L,0.014323689,0,0.007237066,1,8
Exaggerated 3,L->R,0.013948729,0,0.008617547,1,9
Exaggerated 3,R->L,0.013972253,0,0.007612309,1,9
Exaggerated 3,L->R,0.014131386,0,0.008886168,1,10
Exaggerated 3,R->L,0.014713749,0,0.008966752,1,10
Exaggerated 3,L->R,0.015515742,0,0.008302422,1,11
Exaggerated 3,R->L,0.014235945,0,0.008477964,1,11
Exaggerated 3,L->R,0.016098138,0,0.009818123,1,12
Exaggerated 3,R->L,0.014190043,0,0.007678478,1,12
Exaggerated 3,L->R,0.01713104,0,0.008211629,1,13
Exaggerated 3,R->L,0.013550848,0,0.008392999,1,13
Exaggerated 3,L->R,0.016415951,0,0.007943205,1,14
Exaggerated 3,R->L,0.01392899,0,0.007710049,1,14
Exaggerated 3,L->R,0.017762706,0,0.007403409,1,15
Exaggerated 3,R->L,0.013072771,0,0.008268281,1,15
Exaggerated 3,L->R,0.017552947,0,0.008769582,1,16
Exaggerated 3,R->L,0.014148865,0,0.007319224,1,16
Exaggerated 3,L->R,0.018758882,0,0.007711253,1,17
Exaggerated 3,R->L,0.013465785,0,0.007712823,1,17
Exaggerated 3,L->R,0.017971953,0,0.007883361,1,18
Exaggerated 3,R->L,0.013417201,0,0.007367925,1,18
Exaggerated 3,L->R,0.019897487,0,0.006303315,1,19
Exaggerated 3,R->L,0.013255868,0,0.007500439,1,19
Exaggerated 3,L->R,0.020438273,0,0.006399595,1,20
Exaggerated 3,R->L,0.013915669,0,0.007794222,1,20
Still 1,L->R,0.002894197,5.84E-05,0.001059836,0.28,1
Still 1,R->L,0.003254156,0.000385375,0.001308035,0.35,1
Still 1,L->R,0.014783554,0.001755851,0.00276676,0.16,2
Still 1,R->L,0.016395474,0.002717709,0.002871223,0.13,2
Still 1,L->R,0.026781176,0.000850298,0.004588283,0.12,3
Still 1,R->L,0.035332679,0.00523478,0.005342065,0.01,3
Still 1,L->R,0.044352999,0.004063642,0.005914751,0.04,4
