i,direction,te,ete,se,p,history length
Exaggerated 1,L->R,0.042742312,0,0.010626931,1,8
Exaggerated 1,R->L,0.058044938,0,0.00914797,0.95,8
Exaggerated 1,L->R,0.039646021,0,0.010341987,1,9
Exaggerated 1,R->L,0.059638451,0,0.011408017,0.97,9
Exaggerated 1,L->R,0.040907883,0,0.010795708,1,10
Exaggerated 1,R->L,0.059730752,0,0.009787842,0.99,10
Exaggerated 1,L->R,0.046106545,0,0.011190371,1,11
Exaggerated 1,R->L,0.060364588,0,0.010571478,1,11
Exaggerated 1,L->R,0.045968558,0,0.009735966,1,12
Exaggerated 1,R->L,0.060112898,0,0.010873273,1,12
Exaggerated 1,L->R,0.047633325,0,0.009635079,1,13
Exaggerated 1,R->L,0.064876099,0,0.009188532,1,13
Exaggerated 1,L->R,0.046677473,0,0.009829418,1,14
Exaggerated 1,R->L,0.064955145,0,0.010306872,1,14
Exaggerated 1,L->R,0.044755143,0,0.008543935,1,15
Exaggerated 1,R->L,0.064855162,0,0.009743487,1,15
Exaggerated 1,L->R,0.044308693,0,0.009289022,1,16
Exaggerated 1,R->L,0.064977178,0,0.00822895,1,16
Exaggerated 1,L->R,0.043688827,0,0.009318778,1,17
Exaggerated 1,R->L,0.064709752,0,0.007722919,1,17
Exaggerated 1,L->R,0.042798323,0,0.008908691,1,18
Exaggerated 1,R->L,0.061385869,0,0.00771135,1,18
Exaggerated 1,L->R,0.045978026,0,0.008524666,1,19
Exaggerated 1,R->L,0.059738793,0,0.009428943,1,19
Exaggerated 1,L->R,0.044752463,0,0.010758136,1,20
Exaggerated 1,R->L,0.0588227,0,0.008559632,1,20
Exaggerated 2,L->R,0.014907202,0.011379342,0.001432039,0,1
Exaggerated 2,R->L,0.007588113,0.003821804,0.0017924,0.03,1
Exaggerated 2,L->R,0.030947823,0.015672002,0.003254705,0,2
Exaggerated 2,R->L,0.028772003,0.012298436,0.003433975,0,2
Exaggerated 2,L->R,0.040089985,0.007982082,0.005134642,0.01,3
Exaggerated 2,R->L,0.039208077,0.005027621,0.005553822,0.02,3
Exaggerated 2,L->R,0.048856234,0.001809952,0.006522221,0.02,4
Exaggerated 2,R->L,0.0463977,0.001080853,0.006908303,0.13,4
Exaggerated 2,L->R,0.046525369,0,0.007876406,0.49,5
Exaggerated 2,R->L,0.044160207,0,0.008090438,0.57,5
Exaggerated 2,L->R,0.042583917,0,0.009602908,0.98,6
Exaggerated 2,R->L,0.042186322,0,0.009692842,0.94,6
Exaggerated 2,L->R,0.046502637,0,0.009640877,1,7
Exaggerated 2,R->L,0.042039483,0,0.010025917,1,7
Exaggerated 2,L->R,0.047675891,0,0.010575404,1,8
Exaggerated 2,R->L,0.038252196,0,0.009706602,1,8
Exaggerated 2,L->R,0.046083881,0,0.010251573,1,9
Exaggerated 2,R->L,0.03617921,0,0.011727793,1,9
Exaggerated 2,L->R,0.044519974,0,0.011016668,1,10
Exaggerated 2,R->L,0.02962542,0,0.012432912,1,10
Exaggerated 2,L->R,0.041951074,0,0.009181726,1,11
Exaggerated 2,R->L,0.02887581,0,0.010327511,1,11
Exaggerated 2,L->R,0.042714023,0,0.010019544,1,12
Exaggerated 2,R->L,0.031720412,0,0.010826956,1,12
Exaggerated 2,L->R,0.042825574,0,0.008979533,1,13
Exaggerated 2,R->L,0.035159172,0,0.010544998,1,13
Exaggerated 2,L->R,0.047363929,0,0.008347196,1,14
Exaggerated 2,R->L,0.037388435,0,0.01020098,1,14
Exaggerated 2,L->R,0.049050615,0,0.009073788,1,15
Exaggerated 2,R->L,0.032767988,0,0.011004385,1,15
Exaggerated 2,L->R,0.049528081,0,0.008020123,1,16
Exaggerated 2,R->L,0.034053012,0,0.011437154,1,16
Exaggerated 2,L->R,0.047915269,0,0.008666511,1,17
Exaggerated 2,R->L,0.036891973,0,0.010240701,1,17
Exaggerated 2,L->R,0.04904748,0,0.008584448,1,18
Exaggerated 2,R->L,0.037358944,0,0.009577289,1,18
Exaggerated 2,L->R,0.049322852,0,0.008156068,1,19
Exaggerated 2,R->L,0.040201601,0,0.010580046,1,19
Exaggerated 2,L->R,0.051302065,0,0.008047442,1,20
Exaggerated 2,R->L,0.041821067,0,0.008962454,1,20
Exaggerated 3,L->R,0.02696693,0.02299963,0.001404039,0,1
Exaggerated 3,R->L,0.023041566,0.019342709,0.001470293,0,1
Exaggerated 3,L->R,0.05310693,0.033298369,0.004289919,0,2
Exaggerated 3,R->L,0.043373422,0.025419338,0.003697414,0,2
Exaggerated 3,L->R,0.056066667,0.018185982,0.005842641,0,3
Exaggerated 3,R->L,0.051145876,0.015763508,0.005855348,0,3
Exaggerated 3,L->R,0.056055004,0,0.00733666,0.11,4
Exaggerated 3,R->L,0.053206542,0.00337496,0.008571448,0.2,4
Exaggerated 3,L->R,0.065720454,0,0.009248102,0.23,5
Exaggerated 3,R->L,0.054103249,0,0.009107496,0.61,5
Exaggerated 3,L->R,0.069806833,0,0.010732924,0.52,6
Exaggerated 3,R->L,0.056928939,0,0.009963681,0.96,6
Exaggerated 3,L->R,0.072551437,0,0.011333014,0.78,7
Exaggerated 3,R->L,0.062930279,0,0.011513211,0.95,7
Exaggerated 3,L->R,0.0715161,0,0.010786952,0.93,8
Exaggerated 3,R->L,0.062221799,0,0.011907695,0.98,8
Exaggerated 3,L->R,0.070390271,0,0.011141116,1,9
Exaggerated 3,R->L,0.060470935,0,0.011926873,1,9
Exaggerated 3,L->R,0.067685633,0,0.009632471,1,10
Exaggerated 3,R->L,0.058503097,0,0.012155799,1,10
Exaggerated 3,L->R,0.068580662,0,0.009315591,1,11
Exaggerated 3,R->L,0.056604127,0,0.012814103,1,11
Exaggerated 3,L->R,0.06587582,0,0.010080198,1,12
Exaggerated 3,R->L,0.056516447,0,0.013016787,1,12
